Caso;Actuación;Duración;Gestión;Fecha Límite
Caso Odebrecht – Ruta del Sol II (sobornos y otrosíes);Revocatoria de medida de aseguramiento;15;;2025-10-02 00:00:00
Semilleros de Ciencia – becas sin convocatoria pública (Bogotá, 2022);Audiencia de suspensión condicional del procedimiento (cuando procede);17;;2025-11-07 00:00:00
Ciclorruta Met – sobreprecios en señalética (AMVA, 2021);Variación de la calificación jurídica;20;;2025-12-03 00:00:00
Caso Colmenares (muerte de Luis A.  Colmenares, procesos y absoluciones);Control posterior de diligencias de policía judicial;20;;2025-11-24 00:00:00
Cartel de la Educación – PAE (manipulación de raciones);Legalización de captura;21;;2025-10-05 00:00:00
Vitalogic – Bucaramanga (contratación indebida de basuras);Corrección o adición de acusación;21;;2025-12-06 00:00:00
Cartel de la Seguridad Vial – contratos de señalización (investigado);Audiencia de sustitución de medida por brazalete electrónico;23;;2025-10-28 00:00:00
Estadio 2.0 – graderías sin norma sismorresistente (Atlántico, 2018);Aceptación de cargos;24;;2025-10-27 00:00:00
Cartel de las Ambulancias – Bogotá (traslados inflados);Audiencia de entrega de elementos materiales probatorios;27;;2025-09-02 00:00:00
Energía Limpia I – granja solar inconclusa (Guaviare, 2023);Audiencia de entrega de elementos materiales probatorios;28;;2025-11-18 00:00:00
Enilce López ‘La Gata’ (concierto para delinquir, chance);Audiencia de verificación de querella y desistimiento;29;;2025-12-04 00:00:00
Red de Alimentos – operadores del PAE coligados (Nariño, 2022);Exclusión de pruebas (ilegalidad/pertinencia);30;;2025-12-05 00:00:00
Vía al Mar II – atrasos por liberación predial (Sucre, 2021);Sustitución de medida de aseguramiento;30;;2025-09-12 00:00:00
Caso Interbolsa (colapso firma comisionista);Audiencia de verificación de preacuerdo con víctimas;30;;2025-10-18 00:00:00
Cartel del Aseo Urbano – ciudades intermedias (licitaciones direccionadas);Audiencia de cadena de custodia (control y controversia);31;;2025-09-07 00:00:00
Plan de Choque Vial – mezcla asfáltica no conforme (Córdoba, 2022);Acumulación procesal;31;;2025-10-31 00:00:00
Centro de Innovación – propiedad intelectual no cedida (Atlántico, 2023);Control de legalidad de incautaciones;31;;2025-10-06 00:00:00
Cartel de la Toga (corrupción en altas cortes);Exclusión de pruebas (ilegalidad/pertinencia);32;;2025-09-13 00:00:00
Clínica del Sur – contratación de hemoderivados inflada (Putumayo, 2021);Legalización de captura;32;;2025-09-19 00:00:00
Observatorio de Datos – plataforma sin interoperabilidad (Caldas, 2022);Acumulación procesal;32;;2025-11-23 00:00:00
Red de Catastro – actualización predial direccionada (Antioquia, 2023);Audiencia de verificación de preacuerdo con víctimas;32;;2025-11-20 00:00:00
Cartel de la Vivienda VIS – subsidios desviados (varias ciudades);Control de legalidad de allanamiento y registro;33;;2025-09-22 00:00:00
Alumbrado Festivo – prórrogas injustificadas (Córdoba, 2021);Legalización de captura;33;;2025-11-01 00:00:00
Cartel de los Blindados – compras estatales (sobreprecios);Variación de la calificación jurídica;33;;2025-11-27 00:00:00
Conexión Fluvial – dragado sin licencia de vertimientos (Magdalena, 2022);Exclusión de pruebas (ilegalidad/pertinencia);34;;2025-09-23 00:00:00
DMG – David Murcia Guzmán (piramidal);Audiencia de preacuerdo (verificación judicial);35;;2025-10-18 00:00:00
Vía del Litoral – actas de obra alteradas (Magdalena, 2019–2022);Control posterior de diligencias de policía judicial;35;;2025-10-17 00:00:00
Red de Plazas de Mercado – interventoría sin personal (Cauca, 2022);Audiencia de habeas corpus (control de libertad);37;;2025-11-02 00:00:00
Vías para la Paz – actas de recibo con metraje inflado (Caquetá, 2020);Nulidad en control de garantías;38;;2025-09-05 00:00:00
SIG Territorial – licencias GIS sin transferencia de conocimiento (Meta, 2022);Audiencia de verificación de preacuerdo con víctimas;39;;2025-09-03 00:00:00
Parques para Todos – obras inconclusas (Meta, 2018–2020);Sustitución por detención domiciliaria;39;;2025-12-02 00:00:00
Caso Dragacol (conciliaciones irregulares históricas);Audiencia de entrega de elementos materiales probatorios;40;;2025-09-18 00:00:00
Plataforma Tributaria – fallas críticas en puesta en producción (Cundinamarca, 2022);Audiencia de cadena de custodia (control y controversia);40;;2025-10-20 00:00:00
Telemedicina YA – equipos ociosos (Huila, 2021);Audiencia de preacuerdo (verificación judicial);41;;2025-11-30 00:00:00
Biblioteca Central – diseños incompletos (Cundinamarca, 2019);Audiencia de entrega de elementos materiales probatorios;41;;2025-12-02 00:00:00
Paso Elevado – modelo financiero irreal (Atlántico, 2021);Audiencia de control de términos (libertad por vencimiento);42;;2025-11-18 00:00:00
Conectividad Escolar – radios de enlace subdimensionados (Guainía, 2022);Solicitud e imposición de medida de aseguramiento;43;;2025-09-19 00:00:00
